sample_index,node_address,timestamp_sec,x,y,z,magnitude_xy,magnitude_xyz,base_rssi,node_rssi
251,56384,3.53097,-0.0161994,-0.0106827,0,0.0194046,0.0194046,-46,-46
252,56384,3.53835,-0.0177577,-0.00919832,0,0.0199986,0.0199986,-46,-46
253,56384,3.54657,-0.0170336,-0.0119951,0,0.0208333,0.0208333,-45,-46
254,56384,3.55459,-0.0163883,-0.0123701,0,0.0205328,0.0205328,-46,-46
255,56384,3.56248,-0.0166086,-0.00957331,0,0.0191702,0.0191702,-46,-47
256,56384,3.57035,-0.0178993,-0.00926082,0,0.0201531,0.0201531,-46,-46
257,56384,3.57839,-0.017191,-0.00966706,0,0.0197227,0.0197227,-46,-46
258,56384,3.58606,-0.0162781,-0.0140107,0,0.0214773,0.0214773,-46,-47
259,56384,3.59381,-0.0161522,-0.0123389,0,0.0203258,0.0203258,-46,-47
260,56384,3.60138,-0.016892,-0.010417,0,0.0198457,0.0198457,-46,-46
261,56384,3.6087,-0.0162466,-0.0130107,0,0.0208142,0.0208142,-46,-47
262,56384,3.61688,-0.0176317,-0.0125732,0,0.0216556,0.0216556,-46,-47
263,56384,3.62511,-0.0166086,-0.0140888,0,0.0217794,0.0217794,-46,-46
264,56384,3.63318,-0.0162309,-0.0113389,0,0.0197993,0.0197993,-47,-46
265,56384,3.64061,-0.0170179,-0.0103233,0,0.0199042,0.0199042,-46,-47
266,56384,3.64853,-0.0161207,-0.011042,0,0.0195398,0.0195398,-46,-47
267,56384,3.65624,-0.0184502,-0.011417,0,0.021697,0.021697,-47,-47
268,56384,3.66422,-0.0165457,-0.011667,0,0.0202455,0.0202455,-47,-47
269,56384,3.67181,-0.0163096,-0.011542,0,0.0199805,0.0199805,-46,-47
270,56384,3.67951,-0.0164985,-0.0102139,0,0.0194042,0.0194042,-47,-47
271,56384,3.6874,-0.0176317,-0.0102764,0,0.0204079,0.0204079,-47,-47
272,56384,3.6955,-0.0166244,-0.013542,0,0.0214419,0.0214419,-46,-48
273,56384,3.70327,-0.0170966,-0.0106514,0,0.0201431,0.0201431,-46,-47
274,56384,3.71091,-0.0156485,-0.0103233,0,0.0187469,0.0187469,-47,-48
275,56384,3.7188,-0.0169707,-0.00952644,0,0.0194617,0.0194617,-46,-48
276,56384,3.72648,-0.0187336,-0.0111201,0,0.0217854,0.0217854,-46,-47
277,56384,3.73422,-0.0158846,-0.0136357,0,0.0209345,0.0209345,-47,-47
278,56384,3.7421,-0.0156642,-0.0107139,0,0.0189778,0.0189778,-46,-47
279,56384,3.75007,-0.0167503,-0.0107452,0,0.0199005,0.0199005,-46,-47
280,56384,3.75791,-0.0174271,-0.0125264,0,0.0214619,0.0214619,-47,-47
281,56384,3.76572,-0.0174586,-0.0144169,0,0.0226418,0.0226418,-47,-47
282,56384,3.78164,-0.0149717,-0.0123701,0,0.0194209,0.0194209,-46,-47
283,56384,3.78825,-0.0173956,-0.0100577,0,0.0200939,0.0200939,-47,-47
284,56384,3.79594,-0.0172382,-0.011417,0,0.0206762,0.0206762,-46,-48
285,56384,3.80414,-0.0175216,-0.0114483,0,0.0209301,0.0209301,-47,-47
286,56384,3.81228,-0.0164355,-0.0097608,0,0.0191154,0.0191154,-47,-47
287,56384,3.82025,-0.0158531,-0.00997955,0,0.0187327,0.0187327,-46,-48
288,56384,3.82843,-0.0166559,-0.0106202,0,0.0197536,0.0197536,-46,-47
289,56384,3.83593,-0.0175688,-0.0105889,0,0.0205131,0.0205131,-47,-47
290,56384,3.84384,-0.0165142,-0.0125889,0,0.0207653,0.0207653,-46,-48
291,56384,3.85149,-0.0163253,-0.0113389,0,0.0198768,0.0198768,-46,-47
292,56384,3.85947,-0.0165299,-0.0111826,0,0.0199572,0.0199572,-47,-47
293,56384,3.86736,-0.0179938,-0.0109795,0,0.021079,0.021079,-47,-47
294,56384,3.87522,-0.0160892,-0.0130263,0,0.0207014,0.0207014,-46,-47
295,56384,3.88342,-0.0161522,-0.0141669,0,0.0214848,0.0214848,-47,-47
296,56384,3.89018,-0.0164198,-0.0108858,0,0.0197005,0.0197005,-47,-47
297,56384,3.89754,-0.0170966,-0.0107608,0,0.0202012,0.0202012,-47,-47
298,56384,3.90543,-0.0183401,-0.0117139,0,0.0217617,0.0217617,-47,-47
299,56384,3.91348,-0.0157587,-0.0136513,0,0.0208493,0.0208493,-47,-48
300,56384,3.92177,-0.0163883,-0.0100577,0,0.0192284,0.0192284,-46,-48
301,56384,3.92903,-0.0151763,-0.00944831,0,0.0178771,0.0178771,-46,-47
302,56384,3.93687,-0.0157901,-0.00888583,0,0.0181187,0.0181187,-47,-47
303,56384,3.94489,-0.0169234,-0.011667,0,0.0205553,0.0205553,-47,-48
304,56384,3.95241,-0.0164512,-0.0115108,0,0.0200784,0.0200784,-46,-47
305,56384,3.96041,-0.0161364,-0.00838584,0,0.0181853,0.0181853,-47,-47
